iD	systemName	x	y	size	Owner String	Owner	Original Owner	Current Owner	Factories	World Type (Industrial)	World Type (Political)	SearchString1	SearchString2	Label	Fort 1 Count	Fort 1 Type	Fort 2 Count	Fort 2 Type	Fort 3 Count	Fort 3 Type	Fort 4 Count	Fort 4 Type	Fort 5 Count	Fort 5 Type	Fort String	Fort Supply	Training Center	RP
445	Calloway	-58.168	-199.567	1,1,0	FWL,Duchy of Oriente	FWL	Free Worlds League	Free Worlds League	1	Minor Industrial	Other	Free Worlds LeagueMinor Industrial	Free Worlds LeagueOther	Minor Industrial	0	None	0	None	0	None	0	None	0	None	None	0	No Center	24
446	Calpaca	-20.166	-214.831	1,1,0	CC,Sian Commonality,Region 1	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
447	Calseraigne	-8.281	-367.667	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
448	Calvados	-459.055	-6.629	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
449	Camadeierre	217.730	-401.501	1,1,0	TC,Hyades Union	TC	Taurian Concordat	Taurian Concordat		Other	Other	Taurian ConcordatOther	Taurian ConcordatOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
450	Cambiano	351.538	-241.982	1,1,0	FS,Crucis March,Chirikof Operational Area,Islamabad Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
451	Cameron	-157.697	-196.793	1,1,0	FWL,Principality of Regulus	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
452	Cameron	-172.970	167.203	1,1,0	LC,Protectorate of Donegal,District of Donegal	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
453	Camlann	-153.871	-233.875	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
454	Camlann	0.521	165.620	1,1,0	DC,Benjamin Military District,Buckminster Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
455	Cammal	111.400	-164.975	1,1,0	FS,Capellan March,Kathil Operational Area,Alcyone PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
456	Campbelton	-168.439	-112.094	1,1,0	FWL,Marik Commonwealth	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
457	Campertown	-5.436	-159.326	1,1,0	CC,Sarna Commonality,Region 6	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
458	Campoleone	-299.830	-291.844	1,1,0	FWL,Rim Commonality	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
459	Canal	-377.634	307.298	1,1,0	LC,Protectorate of Donegal,Coventry Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
460	Candiear	-203.780	-419.341	1,1,0	MOC	MOC	Magistracy of Canopus	Magistracy of Canopus		Other	Other	Magistracy of CanopusOther	Magistracy of CanopusOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
461	Canonbie	-122.017	67.163	1,1,0	LC,Federation of Skye,Rahneshire	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
462	Canopus	-147.166	-394.997	1,1,0	MOC,Faction Capital	MOC	Magistracy of Canopus	Magistracy of Canopus	2	Minor Industrial	National Capital	Magistracy of CanopusMinor Industrial	Magistracy of CanopusNational Capital	National Capital, Minor Industrial	1	Capital-3	2	Standard-4	0	None	0	None	0	None	1 Capital-3, 2 Standard-4	12	Present	104
463	Cap Rouge	-123.612	-307.697	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
464	Capac	310.184	-56.394	1,1,0	FS,Crucis March,Markesan Operational Area,Kestrel Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
465	Capella	38.133	-172.157	1,1,0	CC,Capella Commonality,Region 2,Major Capital	CC	Capellan Confederation	Capellan Confederation	4	Major Industrial	Regional Capital	Capellan ConfederationMajor Industrial	Capellan ConfederationRegional Capital	Regional Capital, Major Industrial	1	Capital-3	1	Standard-2	0	None	0	None	0	None	1 Capital-3, 1 Standard-2	10	No Center	80
466	Caph	12.917	-0.564	1,1,0	FS,Draconis March,Robinson Operational Area,Addicks PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
467	Capolla	8.003	-41.409	1,1,0	CC,Tikonov Commonality,Region 4	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
468	Capra	340.416	105.709	1,1,0	DC,Galedon Military District,Kaznejoy Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
469	Capricorn	87.616	-186.380	1,1,0	CC,Capella Commonality,Region 4	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
470	Caracol	273.349	398.823	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
471	Carbonis	-47.580	-175.575	1,1,0	FWL,Duchy of Orloff	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
472	Carcassonne	380.381	18.128	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
473	Cardff	-377.873	-5.998	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
474	Caria	157.768	-125.011	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
475	Caripare	146.814	291.272	1,1,0	DC,Pesht Military District,Kagoshima Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
476	Carlisle	-304.983	88.880	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth	1	Minor Industrial	Other	Lyran CommonwealthMinor Industrial	Lyran CommonwealthOther	Minor Industrial	0	None	0	None	0	None	0	None	0	None	None	0	No Center	24
477	Carmacks	183.783	-236.833	1,1,0	FS,Capellan March,Taygeta Operational Area,New Syrtis PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
478	Carmelita	749.431	237.950	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
479	Carmen	28.430	-264.486	1,1,0	CC,Sian Commonality,Region 5	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
480	Carmichael	199.553	-349.033	1,1,0	FS,Capellan March,Taygeta Operational Area,Altair PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
481	Carnac	233.807	-24.011	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
482	Carnwath	-63.082	82.416	1,1,0	LC,Federation of Skye,Virginia Shire	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
483	Carse	-15.777	239.059	1,1,0	LC,Tamar Pact,Tamar Domains	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
484	Carsphairn	-96.168	38.985	1,1,0	LC,Federation of Skye,Isle of Skye	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
485	Carstairs	-77.040	139.279	1,1,0	LC,Federation of Skye,Virginia Shire	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
486	Cartago	139.836	-10.127	1,1,0	FS,Draconis March,Robinson Operational Area,Kentares PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
487	Carver	-5.436	-20.722	1,1,0	CC,Tikonov Commonality,Region 1	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
488	Cascade	-223.115	-47.613	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
489	Caselton	115.467	-32.666	1,1,0	FS,Draconis March,Robinson Operational Area,Kentares PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
490	Casere	77.800	343.743	1,1,0	DC,Rasalhague Military District,Alshain Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
491	Cassias	317.678	79.828	1,1,0	FS,Draconis March,Robinson Operational Area,Dahar PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
492	Castor	-40.430	-16.683	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
493	Castrovia	13.692	-252.594	1,1,0	CC,Sian Commonality,Region 3	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
494	Cate's Hold	-69.555	-471.669	1,1,0	MOC	MOC	Magistracy of Canopus	Magistracy of Canopus		Other	Other	Magistracy of CanopusOther	Magistracy of CanopusOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
495	Catroxx	-90.857	-36.364	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
496	Cavalor	60.990	-387.783	1,1,0	CC,Sian Commonality,Region 14	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
497	Cavanaugh	-307.125	-52.558	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
498	Cayuga	-280.178	-513.855	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
499	Ceará	-221.311	-322.913	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
500	Cebalrai	-8.289	119.379	1,1,0	DC,Dieron Military District,Vega Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
501	Ceiba	720.200	266.605	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
502	Celebes	118.075	75.829	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
503	Celentaro	339.936	-348.979	1,1,0	TC,Perdition Union	TC	Taurian Concordat	Taurian Concordat		Other	Other	Taurian ConcordatOther	Taurian ConcordatOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
504	Centavido	257.724	-368.727	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
505	Ceram	-518.535	171.094	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
506	Cerberus	475.838	190.466	1,1,0	OA,Cerberus Province,Major Capital	OA	Outworlds Alliance	Outworlds Alliance		Other	Other	Outworlds AllianceOther	Outworlds AllianceOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
507	Cerignola	-328.010	-286.324	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
508	Cerillos	-369.902	-81.213	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
509	Cerulean	412.809	-80.698	1,1,0	FS,Crucis March,Minette Operational Area,Tsamma Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
510	Ceuta	-538.748	199.654	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
511	Chaffee	-95.395	82.416	1,1,0	LC,Federation of Skye,Virginia Shire	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
512	Chagos	-263.651	-226.229	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
513	Chahar	-198.534	340.642	1,1,0	LC,Protectorate of Donegal,Coventry Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
514	Chakachamna	299.848	-181.231	1,1,0	FS,Crucis March,Chirikof Operational Area,Remagen Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
515	Chalouba	-277.927	-141.685	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
516	Chamdo	10.332	-152.286	1,1,0	CC,Sarna Commonality,Region 6	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
517	Champadanga	-381.806	216.314	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
518	Chandler	47.037	207.265	1,1,0	DC,Benjamin Military District,Buckminster Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
519	Chanute	463.735	23.474	1,1,0	FS,Draconis March,Woodbine Operational Area,Mayetta PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
520	Chapineria	292.088	392.083	1,1,0	DC,Pesht Military District,Qandahar Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
521	Chapultepec	-240.361	343.486	1,1,0	LC,Protectorate of Donegal,Coventry Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
522	Chara	-29.214	6.414	1,1,0	LC,Federation of Skye,Isle of Skye	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
523	Charity	315.099	263.937	1,1,0	DC,Pesht Military District,Kagoshima Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
524	Charleywood	275.718	-21.722	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
525	Chateau	-75.747	395.445	1,1,0	LC,Tamar Pact,Trellshire	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
526	Chatham	180.940	250.168	1,1,0	DC,Pesht Military District,Kagoshima Prefecture	DC	Draconis Combine	Draconis Combine	3	Major Industrial	Other	Draconis CombineMajor Industrial	Draconis CombineOther	Major Industrial	1	Capital-4	1	Standard-4	0	None	0	None	0	None	1 Capital-4, 1 Standard-4	10	Present	40
527	Chaumont	360.585	17.213	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
528	Chaville	17.398	46.931	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
529	Chebanse	225.145	-102.928	1,1,0	FS,Crucis March,Markesan Operational Area,New Avalon Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
530	Chengdu	-29.575	-170.358	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
531	Chenier	580.569	-41.409	1,1,0	FS,Draconis March,Woodbine Operational Area,Milligan PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
532	Chennai	10.046	-374.191	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
533	Cheriton	244.780	328.533	1,1,0	DC,Pesht Military District,Kagoshima Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
534	Chertan	-74.708	-15.558	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
535	Chesterton	115.619	-71.037	1,1,0	FS,Capellan March,Kathil Operational Area,Valexa PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
536	Chhaprauli	-346.127	219.417	1,1,0	LC,Protectorate of Donegal,Coventry Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
537	Chiavenna	-380.518	88.355	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
538	Chichibu	90.467	74.914	1,1,0	DC,Dieron Military District,Ashio Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
539	Chillon	227.851	-242.960	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
540	Chilung	-123.603	-247.142	1,1,0	FWL	FWL	Free Worlds League	Free Worlds League		Other	Other	Free Worlds LeagueOther	Free Worlds LeagueOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
541	Chimpaw	45.162	154.465	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
542	Chinmen Tao	341.208	215.537	1,1,0	DC,Galedon Military District,New Samarkand Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
543	Chirala	385.662	240.871	1,1,0	DC,Galedon Military District,New Samarkand Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
544	Chirikof	335.799	-233.463	1,1,0	FS,Crucis March,Chirikof Operational Area,Remagen Combat Region,Minor Capital	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
545	Chisholm	1.540	-50.974	1,1,0	CC,Tikonov Commonality,Region 4	CC	Capellan Confederation	Capellan Confederation		Other	Other	Capellan ConfederationOther	Capellan ConfederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
546	Chita	-489.077	290.188	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
547	Chitwan	18.749	-172.420	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
548	Choex	-454.406	-44.649	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
549	Cholame	202.397	-31.328	1,1,0	FS,Crucis March,Markesan Operational Area,Achemar Combat Region	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
550	Chorley	332.933	379.684	1,1,0	DC,Pesht Military District,Qandahar Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
551	Chota	186.624	-21.950	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
552	Choudrant	336.035	56.042	1,1,0	FS,Draconis March,Robinson Operational Area,Dahar PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
553	Chouli	169.583	-287.756	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
554	Christiania	17.531	366.005	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
555	Chukchi	-180.694	90.425	1,1,0	LC,Protectorate of Donegal,Bolan Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
556	Chupadero	227.989	379.415	1,1,0	DC,Pesht Military District,Bjarred Prefecture	DC	Draconis Combine	Draconis Combine		Other	Other	Draconis CombineOther	Draconis CombineOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
557	Ciampino	-331.454	166.945	1,1,0	LC,Protectorate of Donegal,Alarion Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
558	Cilvituk	-493.401	225.665	1,1,0	A	A	Abandoned	Abandoned		Other	Other	AbandonedOther	AbandonedOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
559	Cimeron	362.649	83.967	1,1,0	FS,Draconis March,Robinson Operational Area,Dahar PDZ	FS	Federated Suns	Federated Suns		Other	Other	Federated SunsOther	Federated SunsOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
560	Ciotat	-154.626	74.397	1,1,0	LC,Protectorate of Donegal,Bolan Province	LC	Lyran Commonwealth	Lyran Commonwealth		Other	Other	Lyran CommonwealthOther	Lyran CommonwealthOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
561	Circinus	-388.555	-66.824	1,1,0	CF,Faction Capital	CF	Circinus Federation	Circinus Federation		Other	Other	Circinus FederationOther	Circinus FederationOther	Other	0	None	0	None	0	None	0	None	0	None	None	0	No Center	2
